lat,long,name,address,phone,email,LandMark,category,DoctorsNumber,HIVServces,AnteNatalService,Tuberculosis,EmergencyServices,Open_days,Tier
9.018,7.422,Primary Health Care Provides-HIV-ANC,Karomagiji,(23480) 584-1990,info@maitama.gov.ng,"After Rosery International School By The River, Karomagiji By Airport Road",,1,No,Yes,Yes,Yes,Mon - Sunday,Private
9.018,7.421,Health Care Center Provides-HIV-ANC,"Opposite Redeem Church Of God, Kuchigoro",(23480) 584-1991,info@maitama.gov.ng,"Opposite Redeem Church Of God, Kuchigoro",,1,No,Yes,Yes,Yes,Mon - Sunday,Private
9.018,7.421,Silver Foundation Medical Center Provides-HIV-ANC,Kuchigoro Airport Road,(23480) 584-1992,info@maitama.gov.ng,"Kuchigoro Airport Road, Abuja",,2,Yes,Yes,Yes,Yes,Mon - Sunday,Private
9.054,7.462,Euro Hospitals And Maternity Provides-HIV-ANC,"No.43 Oran Street,Zone1,Wuse",(23480) 584-1993,info@maitama.gov.ng,"Near Habib Bank Zone 1,Wuse",,7,No,Yes,Yes,Yes,Mon - Sunday,Private
9.046,7.498,Covenant Medical Clinic Provides-HIV-ANC,"No.4 Ayangba Close, Area 2,Garki,By NTA Headquarters",(23480) 584-1994,info@maitama.gov.ng,"Opposite NTA, The Same Road With FCDA",,3,No,Yes,Yes,Yes,Mon - Sunday,Private
9.034,7.475,Crescent Clinic Provides-HIV-ANC,"No.14 Ikeja Close, Area 2,Garki",(23480) 584-1995,info@maitama.gov.ng,By Nigeria Social Insurance Trust Fund,,2,No,No,No,No,Mon - Friday,Private
9.078,7.453,Nigermed Skincare Center Provides-HIV-ANC,"Nigermed Skincare Center, Zankli Medical Center, Mabushi",(23480) 584-1996,info@maitama.gov.ng,"An SDP Situated In The Zakli Medical Complex, Painted Blue, Directly Opposite The Federal Ministry Of Agriculture And Rural Development, Agricultural Research House, Mabushi, Abuja",,1,No,No,No,No,Mon - Friday,Private
9.096,7.405,Jedonec Clinic Provides-HIV-ANC,"9, Jedonec Clinic, Abdulkadir Street, Works And Housing Phase 2",(23480) 584-1997,info@maitama.gov.ng,"A 1-Storey Building With A Smaller Building By The Side. It Has A Black Gate And Is Located At The Works And Housing Estate, Gwarinpa",,2,Yes,Yes,Yes,Yes,Mon - Sunday,Private
9.115,7.412,Well Points Clinic Limited Provides-HIV-ANC,"Well Point Clinic Ltd.1,45 Road,4th Avenue, Gwarinpa",(23480) 584-1998,info@maitama.gov.ng,"The SDP Is A Private Hospital That Comprises Of A 1-Storey Building Opposite The Anglican Communion Diocese Of Abuja, Setraco Community 3,Gwarinpa Estate",,6,Yes,Yes,Yes,Yes,Mon - Sunday,Private
9.078,7.453,St. Immanuel Eye Care Services,"St. Immanuel Eye Care Services, Zankli Medical Center Premises, Utako District, Abuja",(23480) 584-1999,info@maitama.gov.ng,"A Big Medical Complex Painted White And Blue That Is Directly Opposite Federal Ministry Of Agriculture And Rural Development, Agricultural Research House, Mabushi, Abuja",,2,No,No,No,No,Mon - Friday,Private
9.078,7.453,New Capital Dental Clinic,Zankli Medical Center,(23480) 584-2000,info@maitama.gov.ng,"A Big Medical Complex  That Is Directly Opposite Federal Ministry Of Agriculture And Rural Development, Agricultural Research House, Mabushi, Abuja",,1,No,No,No,No,Mon - Friday,Private
9.078,7.453,Zankli Medical Center Provides-HIV-ANC,"Zankli Medical Center, Utako District, Abuja",(23480) 584-2001,info@maitama.gov.ng,"A Big Medical Complex Painted White And Blue That Is Directly Opposite Federal Ministry Of Agriculture And Rural Development, Mabushi, Abuja.",,17,Yes,Yes,Yes,Yes,Mon - Sunday,Private
9.034,7.481,Samvic Eye Center,"Plot 202 Basita Close, Dala Clinic Complex Area 2 Section 2,Garki",(23480) 584-2002,info@maitama.gov.ng,It Is In Area 2 Section 2 Garki Just Trekable Distance From Four Square Church,,2,No,No,No,No,Mon - Friday,Private
9.065,7.460,T.Dot Xray And Ultrasound Center,No.22 Algiers Street,(23480) 584-2003,info@maitama.gov.ng,"Beside High Court Zone 5 Wuse Off Wadata Plaza(Opposite Secretariat)Zone 5,Wuse",,0,No,No,No,No,Mon - Friday,Private
8.476,6.852,Health Clinic Provides-HIV-ANC,Rimba Village,(23480) 584-2004,info@maitama.gov.ng,"Behind Ube Primary School, Rimba",,0,No,No,No,No,Mon - Friday,Public
8.514,6.856,Panagi Pry Health Care Provides-HIV-ANC,"Panagi PHC, Panagi Village",(23480) 584-2005,info@maitama.gov.ng,Opposite Panagi Primary School,,0,No,No,No,No,Mon - Friday,Public
8.515,6.896,Pry Health Clinic Provides-HIV-ANC,Agyana Village,(23480) 584-2006,info@maitama.gov.ng,At The Front Of LEA Primary School,,0,No,No,No,No,Mon - Friday,Public
8.475,6.961,Government Secondary School Clinic Provides-HIV-ANC,Government Girl's Secondary School Abaji Toto Rd,(23480) 584-2007,info@maitama.gov.ng,Opposite Shagari Low Cost Estate,,0,No,No,No,No,Mon - Friday,Public
8.460,6.943,Narati Comprehensive Health Centre Provides-HIV-ANC,Narati Comp. Health Centre,(23480) 584-2008,info@maitama.gov.ng,"Near Major Gen. A.B. Mamman's House, In Front Of NTA Booster Station",,0,No,Yes,Yes,Yes,Mon - Sunday,Public
8.471,6.944,Maternal And Child Health Centre Provides-HIV-ANC,"Maternity & Child Health Centre, Ona's Close",(23480) 584-2009,info@maitama.gov.ng,Back Of Ona Of Abaji's Palace,,0,No,Yes,Yes,Yes,Mon - Sunday,Public
8.473,6.948,"Town Clinic, Abaji" Provides-HIV-ANC,"Town Clinic, Abaji",(23480) 584-2010,info@maitama.gov.ng,Behind Adamu Shuaibu Memorial Town Hall,,0,No,Yes,Yes,Yes,Mon - Sunday,Public
8.535,6.927,Manderegi Primary Health Care Provides-HIV-ANC,"Manderegi Primary Health Care, Manderegi Village",(23480) 584-2011,info@maitama.gov.ng,"Beside Power Supply Transmission, By The Highway, Along Abaji-Lokoja Rd, Adjacent The Primary School (Ube)",,0,No,No,No,No,Mon - Friday,Public
8.487,6.945,Gen Hosp Abaji Provides-HIV-ANC,"Abaji General Hospital, Along Abaji-Gwagwalada Rd",(23480) 584-2012,info@maitama.gov.ng,Opposite Local Education Secretariat,,4,Yes,Yes,Yes,Yes,Mon - Sunday,Public
8.475,6.945,Kowa Medical Laboratory,"2, Soko Dabo Street",(23480) 584-2013,info@maitama.gov.ng,"2, Soko Dabo Upstairs, Near MTN Mast Along Abaji-Toto Rd",,0,Yes,No,No,No,Mon - Friday,Private
8.474,6.945,Nima Health Clinic Provides-HIV-ANC,"Nima Health Clinic, Soko Dabo Rd",(23480) 584-2014,info@maitama.gov.ng,"Soko Dabo Street, Near Alhaji Umoru Petrol Filling Station",,3,No,Yes,Yes,Yes,Mon - Sunday,Private
8.759,6.787,Gurdi Health Clinic Provides-HIV-ANC,"Gurdi Village, Community Clinic",(23480) 584-2022,info@maitama.gov.ng,Opposite Ube Primary School Gurdi,,0,No,Yes,Yes,Yes,Mon - Sunday,Public
8.703,6.794,Adagba Primary Health Clinic Provides-HIV-ANC,PHC Adagba Village,(23480) 584-2023,info@maitama.gov.ng,"Angwan Sarkin, Near Village Head & L.E.A Primary School",,0,No,No,No,No,Mon - Friday,Public
8.598,6.815,Kpache HC Provides-HIV-ANC,"Primary Health Care, Kpache",(23480) 584-2024,info@maitama.gov.ng,Opposite Central Mosque Kpache,,0,No,No,No,No,Mon - Friday,Public
8.644,6.800,Comprehensive Health Care Provides-HIV-ANC,"Comprehensive Primary Health Centre, Yaba Kpada Road",(23480) 584-2025,info@maitama.gov.ng,"Behind Yaba Development Area Secretariat By Ube School Opposite Fadama II, Water Tank Project",,0,No,Yes,Yes,Yes,Mon - Sunday,Public
8.473,6.943,Waleco Clinic Provides-HIV-ANC,"No.38,Lokoja -Kaduna Road, Abaji",(23480) 584-2026,info@maitama.gov.ng,"No.38,Lokoja -Kaduna Road, Abaji",,0,No,Yes,Yes,Yes,Mon - Sunday,Private
8.488,6.941,St. Peter Catholic Hospital & Eye Clinic Provides-HIV-TB-ANC,"St. Peter Catholic Archdiocese Abaji, Abuja-Lokoja High-Way",(23480) 584-2027,info@maitama.gov.ng,"St. Peter Catholic Archdioces Abaji, Abuja-Lokoja High-Way",,2,No,Yes,Yes,Yes,Mon - Sunday,Missionary
9.119,6.867,Gasakpa Health Clinic Provides-HIV-TB-ANC,"Gasakpa Health Clinic, Angwa Sarkin",(23480) 584-2029,info@maitama.gov.ng,"Opposite .L.E.A Primary School Gasakpa, Mougi Road",,0,No,Yes,Yes,Yes,Mon - Sunday,Public
9.210,6.846,Gawu Health Clinic Provides-HIV-TB-ANC,"Gawu Health Clinic, Angwa Tando",(23480) 584-2030,info@maitama.gov.ng,Opposite Government Secondary School Old Gawu Gasakpa Road By Lapai Agai Express Road,,0,No,Yes,Yes,Yes,Mon - Sunday,Public
8.822,7.047,Choice Maternity & Nursing Provides-HIV-TB-ANC,"Choice Maternity & Nursing Home, Lambafia-Kwali",(23480) 584-2031,info@maitama.gov.ng,"Along Abaji-Lokoja Express Road, Lambata -Kwali",,1,No,Yes,Yes,Yes,Mon - Sunday,Private
8.797,6.954,Dapa Health Clinic Provides-HIV-TB-ANC,Dapa Health Clinic,(23480) 584-2032,info@maitama.gov.ng,"Opposite Junior Secondary School Dapa Village, Dapa",,0,No,Yes,Yes,Yes,Mon - Sunday,Public
8.789,6.995,Alheri Specialist Hospital Provides-HIV-TB-ANC,Alheri Specialist Hospital,(23480) 584-2033,info@maitama.gov.ng,At Koroko Junction Along Koroko Road Inside Alheri Specialist Village,,1,Yes,Yes,Yes,Yes,Mon - Sunday,Public
9.312,7.389,Barangoni Health Clinic Provides-HIV-TB-ANC,Barangoni Village,(23480) 584-2034,info@maitama.gov.ng,Situated Just Before L.E.A. Primary School In Barangoni Village,,0,No,Yes,Yes,Yes,Mon - Sunday,Public
9.283,7.383,Primary Health Centre Bwari Town Provides-HIV-TB-ANC,Primary Health Centre Town Clinic Bwari Town,(23480) 584-2035,info@maitama.gov.ng,Primary Health Centre Town Clinic Bwari Town,,0,No,Yes,Yes,Yes,Mon - Sunday,Public
9.222,7.311,Zhiko Health Clinic Provides-HIV-TB-ANC,Zhiko Village Bwari Area Council,(23480) 584-2036,info@maitama.gov.ng,Behind L.E.A. Primary School Zhiko Village,,0,No,Yes,Yes,Yes,Mon - Sunday,Public
9.256,7.389,Kogo Health Post Provides-HIV-TB-ANC,Kogo Village Bwari Area Council,(23480) 584-2037,info@maitama.gov.ng,Beside The L.E.A Primary School In Kogo Village,,0,No,No,No,No,Mon - Friday,Public
9.217,7.413,Ushata Primary School Health Clinic Provides-HIV-TB-ANC,Ushata Village Bwari Area Council,(23480) 584-2038,info@maitama.gov.ng,Located After The Ushafa Pottery Centre In Ushafa,,0,No,Yes,Yes,Yes,Mon - Sunday,Public
9.194,7.401,Lower Usman Dam Health Clinic Provides-HIV-TB-ANC,Lower Usman Dam Bwari Area Council,(23480) 584-2039,info@maitama.gov.ng,Close To S.S.S. Training Office,,1,No,Yes,Yes,Yes,Mon - Sunday,Public
9.243,7.391,National War College Camp Clinic Provides-HIV-TB-ANC,National War College Camp Ushafa,(23480) 584-2040,info@maitama.gov.ng,Situated Opposite Wo II & Sgt Mess In National War College Camp Ushafa,,1,No,No,No,No,Mon - Friday,Public
9.281,7.385,Bwari General Hospital Provides-HIV-TB-ANC,"Kawu Road, Bwari",(23480) 584-2041,info@maitama.gov.ng,"Located Along Kawu Road, Bwari",,7,Yes,Yes,Yes,Yes,Mon - Sunday,Public
9.277,7.381,"Sumit Hospital Provides-HIV-TB-ANC, Bwari","Summit Hospital Ushafa Road, Bwari",(23480) 584-2042,info@maitama.gov.ng,Close To 1616 Junction,,0,Yes,Yes,Yes,Yes,Mon - Sunday,Private
9.276,7.378,Bwari Medical Centre & Maternity,Zango Road Bwari,(23480) 584-2043,info@maitama.gov.ng,Zango Road Bwari,,3,Yes,Yes,Yes,Yes,Mon - Sunday,Private
9.277,7.375,Maryland Clinic Provides-HIV-TB-ANC,Maryland Clinic,(23480) 584-2044,info@maitama.gov.ng,"Located Along Bwari Medical Centre And Maternity Zango Road By Nnajide Avenue, Bwari",,2,No,Yes,Yes,Yes,Mon - Sunday,Private
9.115,7.260,Dei-Dei Health Clinic Provides-HIV-TB-ANC,"Dei-Dei Health Clinic, Bwari Area Council",(23480) 584-2045,info@maitama.gov.ng,"Dei-Dei Junction Beside Junior Secondary School, Dei-Dei Abuja, Opposite Dei-Dei Mosque",,0,No,Yes,Yes,Yes,Mon - Sunday,Public
9.171,7.328,Byazhin Health Clinic Provides-HIV-TB-ANC,"Byazhin Health Clinic, Bwari Abuja",(23480) 584-2046,info@maitama.gov.ng,"Opposite Byazhin Market Close To Celestial Church Of Christ, Byazhin",,0,No,Yes,Yes,Yes,Mon - Sunday,Public
9.275,7.381,Our Lady Of Fatima Catholic Hospital Provides-HIV-ANC,Our Lady Of Famita Catholic Hospital Bwari,(23480) 584-2047,info@maitama.gov.ng,Our Lady Of Famita Catholic Hospital Bwari,,0,No,No,No,No,Mon - Friday,Missionary
